Transaction_date,Transaction_year,Transaction_month,Transaction_ID,Gender,Age,Age_group,Marital_status,State_names,Segment,Employees_status,Payment_method,Referral,Amount_spent,,Label,Description
1/23/2019,2019,January,151253,Male,51,(40-54),Single,Kentucky,Basic,Self-employed,PayPal,Referred,"$1,312.78",,,
1/23/2019,2019,January,151254,Male,15,(15-24),Married,Illinois,Basic,Employees,Card,Referred,"$2,690.18",,,
1/24/2019,2019,January,151255,Male,26,(25-39),Single,Rhode Island,Basic,Workers,PayPal,Referred,"$2,603.22",,,
1/25/2019,2019,January,151256,Female,67,(55+),Single,Iowa,Gold,Employees,PayPal,Referred,$611.70,,,
1/25/2019,2019,January,151257,Male,71,(55+),Single,Massachusetts,Gold,Employees,PayPal,Referred,"$2,569.67",,,
1/25/2019,2019,January,151259,Male,73,(55+),Married,West Virginia,Basic,Employees,PayPal,No Referral,"$1,397.09",,,
1/26/2019,2019,January,151260,Male,55,(55+),Married,Kansas,Basic,Employees,Other,Referred,"$1,277.64",,,
1/26/2019,2019,January,151262,Male,15,(15-24),Married,South Carolina,Basic,Self-employed,Other,Referred,$790.10,,,
1/27/2019,2019,January,151263,Female,63,(55+),Single,Texas,Gold,Employees,Card,Referred,"$1,218.56",,,
1/25/2019,2019,January,151259,Male,73,(55+),Married,West Virginia,Basic,Employees,PayPal,No Referral,"$1,397.09",,,
1/26/2019,2019,January,151260,Male,55,(55+),Married,Kansas,Basic,Employees,Other,Referred,"$1,277.64",,,
1/26/2019,2019,January,151262,Male,15,(15-24),Married,South Carolina,Basic,Self-employed,Other,Referred,$790.10,,,
1/27/2019,2019,January,151263,Female,63,(55+),Single,Texas,Gold,Employees,Card,Referred,"$1,218.56",,,
1/27/2019,2019,January,151264,Male,52,(40-54),Married,Tennessee,Basic,Self-employed,PayPal,Referred,"$2,850.48",,,
1/27/2019,2019,January,151265,Female,30,(25-39),Single,California,Silver,Workers,Card,No Referral,"$1,947.20",,,
1/29/2019,2019,January,151266,Male,24,(15-24),Married,Colorado,Platinum,Workers,PayPal,No Referral,"$1,731.54",,,
1/29/2019,2019,January,151270,Male,24,(15-24),Married,Oregon,Silver,Workers,Other,Referred,"$1,663.72",,,
1/30/2019,2019,January,151273,Female,73,(55+),Married,Alaska,Platinum,Self-employed,PayPal,No Referral,"$1,364.31",,,
1/30/2019,2019,January,151274,Male,50,(40-54),Single,Oklahoma,Missing,Employees,Card,Referred,"$2,943.46",,,
1/30/2019,2019,January,151275,Male,28,(25-39),Single,Connecticut,Basic,Unemployment,Card,Referred,"$2,768.15",,,
1/31/2019,2019,January,151276,Female,49,(40-54),Married,Vermont,Basic,Workers,PayPal,Referred,"$2,439.65",,,
1/31/2019,2019,January,151277,Female,70,(55+),Married,Ohio,Silver,Workers,Other,Referred,$574.10,,,
2/1/2019,2019,February,151278,Female,61,(55+),Single,Oklahoma,Basic,Self-employed,Card,No Referral,$206.79,,,
2/2/2019,2019,February,151280,Male,34,(25-39),Single,Illinois,Silver,Workers,PayPal,Referred,"$1,933.66",,,
2/2/2019,2019,February,151281,Female,58,(55+),Married,Nevada,Gold,Workers,Card,No Referral,"$2,640.72",,,
2/2/2019,2019,February,151282,Male,70,(55+),Single,New Jersey,Basic,Workers,PayPal,No Referral,"$2,969.24",,,
2/2/2019,2019,February,151283,Female,48,(40-54),Married,Louisiana,Silver,Employees,Other,No Referral,"$1,144.28",,,
2/3/2019,2019,February,151285,Female,51,(40-54),Married,Indiana,Platinum,Workers,PayPal,Referred,"$2,722.37",,,
2/3/2019,2019,February,151286,Male,45,(40-54),Single,New York,Basic,Employees,Other,No Referral,"$2,823.89",,,
2/4/2019,2019,February,151287,Female,45,(40-54),Single,New York,Silver,Workers,PayPal,No Referral,"$1,955.43",,,
2/4/2019,2019,February,151288,Male,60,(55+),Married,Rhode Island,Silver,Employees,Card,Referred,$841.26,,,
2/5/2019,2019,February,151290,Female,51,(40-54),Single,Arkansas,Platinum,Workers,Card,Referred,"$2,547.96",,,
2/5/2019,2019,February,151291,Female,15,(15-24),Single,Virginia,Basic,Unemployment,Card,Referred,"$2,922.97",,,
2/5/2019,2019,February,151292,Male,55,(55+),Married,Michigan,Basic,Employees,PayPal,No Referral,$803.50,,,
2/6/2019,2019,February,151293,Male,75,(55+),Married,Maryland,Basic,Employees,Card,Referred,"$1,612.63",,,
2/6/2019,2019,February,151294,Female,77,(55+),Single,Nebraska,Platinum,Employees,PayPal,Referred,"$1,608.27",,,
2/6/2019,2019,February,151295,Female,22,(15-24),Married,Kansas,Missing,Workers,Card,No Referral,"$2,061.14",,,
2/6/2019,2019,February,151296,Female,33,(25-39),Married,Virginia,Platinum,Employees,PayPal,No Referral,"$2,989.33",,,
2/6/2019,2019,February,151297,Male,60,(55+),Married,Utah,Silver,Unemployment,Other,Referred,$433.20,,,
2/7/2019,2019,February,151298,Female,45,(40-54),Married,Missouri,Platinum,Workers,Other,Referred,$929.89,,,
2/8/2019,2019,February,151299,Male,33,(25-39),Single,Arizona,Silver,Workers,PayPal,No Referral,"$2,560.26",,,
2/8/2019,2019,February,151301,Female,53,(40-54),Single,Colorado,Basic,Self-employed,Other,Referred,"$1,888.69",,,
2/8/2019,2019,February,151302,Female,70,(55+),Married,New Hampshire,Missing,Employees,Card,Referred,$685.49,,,
2/8/2019,2019,February,151303,Male,16,(15-24),Married,Nebraska,Basic,Workers,PayPal,Referred,"$1,264.73",,,
2/6/2019,2019,February,151297,Male,60,(55+),Married,Utah,Silver,Unemployment,Other,Referred,$433.20,,,
2/7/2019,2019,February,151298,Female,45,(40-54),Married,Missouri,Platinum,Workers,Other,Referred,$929.89,,,
2/8/2019,2019,February,151299,Male,33,(25-39),Single,Arizona,Silver,Workers,PayPal,No Referral,"$2,560.26",,,
2/8/2019,2019,February,151301,Female,53,(40-54),Single,Colorado,Basic,Self-employed,Other,Referred,"$1,888.69",,,
2/8/2019,2019,February,151302,Female,70,(55+),Married,New Hampshire,Missing,Employees,Card,Referred,$685.49,,,
2/8/2019,2019,February,151303,Male,16,(15-24),Married,Nebraska,Basic,Workers,PayPal,Referred,"$1,264.73",,,
2/10/2019,2019,February,151305,Female,25,(25-39),Married,Wyoming,Silver,Workers,Other,Referred,$309.82,,,
2/10/2019,2019,February,151306,Female,76,(55+),Single,Ohio,Basic,Self-employed,PayPal,Referred,"$1,331.62",,,
2/11/2019,2019,February,151307,Female,43,(40-54),Married,Wyoming,Basic,Employees,Card,Referred,$914.94,,,
2/11/2019,2019,February,151308,Female,32,(25-39),Single,Oregon,Basic,Workers,PayPal,Referred,"$2,922.53",,,
2/11/2019,2019,February,151309,Male,43,(40-54),Married,Tennessee,Silver,Self-employed,PayPal,No Referral,"$2,434.81",,,
2/12/2019,2019,February,151310,Female,19,(15-24),Single,Louisiana,Platinum,Workers,Card,No Referral,"$1,711.60",,,
2/12/2019,2019,February,151311,Female,41,(40-54),Married,Utah,Basic,Self-employed,Other,No Referral,"$1,178.02",,,
2/12/2019,2019,February,151312,Male,32,(25-39),Married,Florida,Silver,Employees,PayPal,Referred,$15.37,,,
2/12/2019,2019,February,151313,Male,76,(55+),Single,Michigan,Silver,Unemployment,PayPal,Referred,$764.34,,,
2/12/2019,2019,February,151314,Female,55,(55+),Married,Kansas,Platinum,Employees,PayPal,Referred,$329.18,,,
2/13/2019,2019,February,151315,Female,72,(55+),Single,South Dakota,Basic,Unemployment,Other,No Referral,"$1,380.00",,,
2/13/2019,2019,February,151316,Male,56,(55+),Single,Virginia,Platinum,Self-employed,PayPal,Referred,$46.72,,,
2/13/2019,2019,February,151317,Male,74,(55+),Single,Connecticut,Basic,Workers,Other,Referred,$560.13,,,
2/14/2019,2019,February,151320,Female,31,(25-39),Married,Washington,Missing,Self-employed,Card,Referred,"$2,508.55",,,
2/14/2019,2019,February,151321,Female,69,(55+),Single,Montana,Basic,Self-employed,PayPal,Referred,"$2,906.08",,,
2/15/2019,2019,February,151322,Male,52,(40-54),Single,Michigan,Gold,Unemployment,PayPal,Referred,"$1,093.33",,,
2/15/2019,2019,February,151323,Female,15,(15-24),Married,Alaska,Basic,Self-employed,Other,No Referral,"$1,408.10",,,
2/16/2019,2019,February,151324,Male,74,(55+),Single,Wisconsin,Basic,Workers,Card,No Referral,$490.37,,,
2/17/2019,2019,February,151326,Male,24,(15-24),Married,Louisiana,Missing,Employees,Other,No Referral,"$1,204.03",,,
2/17/2019,2019,February,151327,Female,77,(55+),Single,Kansas,Platinum,Self-employed,PayPal,No Referral,$200.58,,,
2/18/2019,2019,February,151328,Female,16,(15-24),Married,Georgia,Basic,Workers,PayPal,No Referral,"$1,253.32",,,
2/19/2019,2019,February,151329,Female,33,(25-39),Single,Kentucky,Basic,Employees,Card,No Referral,"$1,486.32",,,
2/19/2019,2019,February,151330,Male,26,(25-39),Married,Idaho,Basic,Unemployment,PayPal,No Referral,"$1,461.49",,,
2/20/2019,2019,February,151331,Male,28,(25-39),Single,West Virginia,Platinum,Workers,Card,Referred,"$1,893.16",,,
2/20/2019,2019,February,151332,Female,49,(40-54),Married,Nebraska,Basic,Employees,PayPal,Referred,"$1,321.70",,,
2/20/2019,2019,February,151333,Male,52,(40-54),Married,New Mexico,Basic,Workers,Other,No Referral,$861.26,,,
2/21/2019,2019,February,151334,Male,18,(15-24),Single,Alabama,Silver,Employees,Other,No Referral,$459.47,,,
2/21/2019,2019,February,151335,Male,71,(55+),Single,Oregon,Basic,Workers,PayPal,No Referral,$685.01,,,
2/21/2019,2019,February,151336,Male,22,(15-24),Married,New Mexico,Gold,Workers,PayPal,No Referral,"$1,862.93",,,
2/21/2019,2019,February,151337,Female,54,(40-54),Married,Michigan,Basic,Unemployment,PayPal,Referred,"$2,831.72",,,
2/21/2019,2019,February,151338,Female,77,(55+),Married,Montana,Basic,Workers,Other,Referred,$875.44,,,
2/21/2019,2019,February,151339,Male,59,(55+),Married,Ohio,Basic,Employees,Other,Referred,$435.79,,,
2/22/2019,2019,February,151340,Male,61,(55+),Married,California,Basic,Self-employed,PayPal,Referred,$670.59,,,
2/23/2019,2019,February,151341,Female,45,(40-54),Married,Montana,Basic,Employees,PayPal,No Referral,"$2,497.39",,,
2/23/2019,2019,February,151342,Male,39,(25-39),Married,Pennsylvania,Silver,Workers,Other,Referred,$93.11,,,
2/24/2019,2019,February,151343,Male,16,(15-24),Married,Oklahoma,Gold,Employees,Card,Referred,"$2,497.12",,,
2/25/2019,2019,February,151344,Female,28,(25-39),Single,North Dakota,Silver,Employees,Card,Referred,"$1,733.65",,,
2/26/2019,2019,February,151345,Male,25,(25-39),Married,West Virginia,Basic,Employees,PayPal,Referred,"$2,746.61",,,
2/26/2019,2019,February,151346,Female,42,(40-54),Married,Arkansas,Silver,Employees,Card,Referred,"$2,789.59",,,
2/26/2019,2019,February,151347,Female,28,(25-39),Married,California,Basic,Employees,PayPal,Referred,"$1,287.31",,,
2/27/2019,2019,February,151348,Male,63,(55+),Married,Arizona,Gold,Employees,PayPal,Referred,"$1,747.91",,,
2/28/2019,2019,February,151350,Female,78,(55+),Single,Michigan,Basic,Employees,PayPal,No Referral,"$2,555.05",,,
3/1/2019,2019,March,151351,Female,75,(55+),Married,Oklahoma,Basic,Self-employed,Other,Referred,"$1,319.12",,,
3/1/2019,2019,March,151352,Female,64,(55+),Married,New York,Basic,Employees,PayPal,Referred,"$1,581.77",,,
3/2/2019,2019,March,151353,Female,28,(25-39),Single,Vermont,Silver,Workers,Other,Referred,"$2,422.79",,,
3/2/2019,2019,March,151354,Female,42,(40-54),Single,Illinois,Silver,Employees,Card,Referred,$971.01,,,
3/2/2019,2019,March,151355,Female,66,(55+),Married,Georgia,Basic,Employees,PayPal,Referred,$783.89,,,
3/3/2019,2019,March,151356,Female,62,(55+),Married,Mississippi,Silver,Unemployment,Other,Referred,$503.49,,,
3/3/2019,2019,March,151357,Male,15,(15-24),Married,Florida,Gold,Employees,Other,Referred,"$1,790.90",,,
3/3/2019,2019,March,151358,Male,76,(55+),Married,Georgia,Missing,Workers,Other,Referred,"$1,832.59",,,
3/4/2019,2019,March,151359,Female,53,(40-54),Married,Nevada,Platinum,Self-employed,PayPal,No Referral,$71.73,,,
3/4/2019,2019,March,151360,Male,39,(25-39),Married,Idaho,Basic,Employees,PayPal,Referred,"$2,486.94",,,
3/4/2019,2019,March,151361,Female,58,(55+),Married,North Carolina,Silver,Employees,PayPal,Referred,$520.69,,,
3/5/2019,2019,March,151362,Female,30,(25-39),Married,New Jersey,Gold,Employees,Card,Referred,$918.51,,,
3/5/2019,2019,March,151363,Female,17,(15-24),Single,West Virginia,Basic,Self-employed,PayPal,Referred,"$1,070.97",,,
3/6/2019,2019,March,151365,Female,20,(15-24),Married,Georgia,Silver,Self-employed,PayPal,Referred,"$1,618.44",,,
3/6/2019,2019,March,151366,Male,46,(40-54),Married,Alaska,Platinum,Unemployment,Other,Referred,"$2,417.73",,,
3/7/2019,2019,March,151369,Female,20,(15-24),Single,Minnesota,Basic,Employees,PayPal,No Referral,$922.31,,,
3/7/2019,2019,March,151370,Female,30,(25-39),Married,Maryland,Platinum,Workers,PayPal,Referred,$350.68,,,
3/7/2019,2019,March,151371,Male,40,(40-54),Married,Rhode Island,Silver,Workers,Card,Referred,"$1,152.11",,,
3/7/2019,2019,March,151372,Male,45,(40-54),Single,Ohio,Basic,Employees,Other,Referred,"$1,742.52",,,
3/8/2019,2019,March,151373,Female,17,(15-24),Single,Hawaii,Silver,Employees,Card,Referred,$655.42,,,
3/8/2019,2019,March,151374,Female,40,(40-54),Married,Idaho,Silver,Workers,Other,No Referral,"$1,977.22",,,
3/9/2019,2019,March,151375,Female,47,(40-54),Married,West Virginia,Basic,Workers,Other,No Referral,"$1,829.32",,,
3/10/2019,2019,March,151378,Female,25,(25-39),Single,Wyoming,Platinum,Unemployment,Card,Referred,"$2,740.57",,,
3/10/2019,2019,March,151380,Female,17,(15-24),Married,Mississippi,Basic,Unemployment,Card,Referred,"$1,277.84",,,
3/12/2019,2019,March,151382,Female,62,(55+),Married,New Mexico,Platinum,Employees,Card,No Referral,$103.59,,,
3/12/2019,2019,March,151383,Male,33,(25-39),Married,Delaware,Basic,Employees,Other,Referred,"$1,064.87",,,
3/13/2019,2019,March,151385,Male,43,(40-54),Married,Missouri,Silver,Employees,Card,No Referral,"$2,903.96",,,
3/13/2019,2019,March,151386,Female,34,(25-39),Married,Alaska,Missing,Workers,Card,No Referral,"$1,493.10",,,
3/14/2019,2019,March,151387,Female,49,(40-54),Married,Oklahoma,Missing,Employees,PayPal,No Referral,"$2,562.52",,,
3/14/2019,2019,March,151390,Male,47,(40-54),Single,Wyoming,Gold,Unemployment,Other,Referred,$234.19,,,
3/14/2019,2019,March,151391,Female,15,(15-24),Married,Wyoming,Basic,Employees,PayPal,Referred,"$2,089.53",,,
3/15/2019,2019,March,151392,Male,66,(55+),Married,Massachusetts,Silver,Workers,PayPal,Referred,"$2,698.50",,,
3/15/2019,2019,March,151394,Male,62,(55+),Single,Texas,Silver,Employees,Card,No Referral,$69.84,,,
3/16/2019,2019,March,151396,Male,21,(15-24),Single,Minnesota,Platinum,Workers,PayPal,Referred,"$2,635.13",,,
3/17/2019,2019,March,151398,Male,17,(15-24),Married,Nevada,Silver,Employees,Other,Referred,"$1,092.95",,,
3/18/2019,2019,March,151401,Male,64,(55+),Single,North Carolina,Platinum,Unemployment,Card,Referred,"$2,590.51",,,
3/19/2019,2019,March,151402,Male,54,(40-54),Single,North Dakota,Basic,Employees,Card,Referred,"$1,659.73",,,
3/20/2019,2019,March,151403,Female,45,(40-54),Single,Montana,Platinum,Employees,PayPal,Referred,$968.41,,,
3/20/2019,2019,March,151404,Female,43,(40-54),Married,Maine,Silver,Workers,PayPal,No Referral,$705.68,,,
3/20/2019,2019,March,151405,Male,26,(25-39),Married,Minnesota,Basic,Employees,Card,No Referral,$982.40,,,
3/21/2019,2019,March,151406,Male,17,(15-24),Single,North Carolina,Basic,Self-employed,Other,Referred,"$1,390.46",,,
3/21/2019,2019,March,151407,Male,78,(55+),Married,Idaho,Silver,Workers,Card,No Referral,$378.43,,,
3/21/2019,2019,March,151408,Female,65,(55+),Married,Vermont,Platinum,Employees,Card,Referred,$61.35,,,
3/21/2019,2019,March,151409,Male,19,(15-24),Single,Massachusetts,Basic,Unemployment,PayPal,Referred,"$1,081.90",,,
3/21/2019,2019,March,151411,Female,35,(25-39),Single,New Mexico,Basic,Workers,PayPal,No Referral,"$2,878.76",,,
3/22/2019,2019,March,151412,Female,41,(40-54),Married,Michigan,Silver,Employees,PayPal,Referred,$225.14,,,
3/22/2019,2019,March,151413,Male,59,(55+),Single,Missouri,Platinum,Workers,Other,Referred,"$2,452.97",,,
3/22/2019,2019,March,151414,Female,64,(55+),Married,Vermont,Platinum,Workers,Other,Referred,"$2,054.68",,,
3/23/2019,2019,March,151415,Female,15,(15-24),Single,New York,Basic,Self-employed,PayPal,Referred,"$1,690.62",,,
3/23/2019,2019,March,151417,Male,62,(55+),Married,Vermont,Basic,Employees,Card,Referred,"$2,875.62",,,
3/23/2019,2019,March,151418,Male,41,(40-54),Single,Virginia,Basic,Employees,Card,Referred,"$1,326.62",,,
3/24/2019,2019,March,151420,Female,18,(15-24),Single,Florida,Silver,Workers,PayPal,Referred,"$2,493.01",,,
3/24/2019,2019,March,151421,Male,63,(55+),Married,Indiana,Gold,Self-employed,Card,Referred,$414.51,,,
3/25/2019,2019,March,151422,Female,71,(55+),Married,Oklahoma,Gold,Workers,PayPal,Referred,"$1,865.09",,,
3/25/2019,2019,March,151424,Female,51,(40-54),Married,Oklahoma,Platinum,Workers,PayPal,Referred,"$1,165.53",,,
3/25/2019,2019,March,151426,Female,78,(55+),Single,Indiana,Basic,Employees,PayPal,Referred,"$1,264.81",,,
3/26/2019,2019,March,151427,Male,70,(55+),Married,South Dakota,Platinum,Employees,PayPal,Referred,"$1,989.96",,,
3/27/2019,2019,March,151429,Male,16,(15-24),Married,Idaho,Basic,Self-employed,PayPal,Referred,$387.77,,,
3/28/2019,2019,March,151430,Female,18,(15-24),Single,Illinois,Basic,Unemployment,PayPal,Referred,"$2,589.36",,,
3/29/2019,2019,March,151431,Female,53,(40-54),Single,Virginia,Platinum,Workers,PayPal,No Referral,"$1,494.10",,,
3/29/2019,2019,March,151432,Female,47,(40-54),Single,South Carolina,Silver,Workers,Card,Referred,"$2,779.66",,,
3/29/2019,2019,March,151433,Male,57,(55+),Married,New Jersey,Platinum,Unemployment,Other,Referred,$841.23,,,
3/29/2019,2019,March,151435,Male,19,(15-24),Married,Massachusetts,Gold,Workers,Other,Referred,"$2,694.54",,,
3/29/2019,2019,March,151436,Male,64,(55+),Single,Mississippi,Basic,Employees,Card,No Referral,"$2,432.67",,,
3/29/2019,2019,March,151437,Male,57,(55+),Single,Nevada,Basic,Self-employed,PayPal,Referred,$80.64,,,
3/30/2019,2019,March,151438,Female,67,(55+),Married,South Carolina,Basic,Workers,PayPal,Referred,"$2,960.41",,,
3/30/2019,2019,March,151439,Female,53,(40-54),Married,New Hampshire,Basic,Workers,Other,No Referral,"$2,600.69",,,
3/30/2019,2019,March,151440,Female,68,(55+),Married,Ohio,Basic,Employees,PayPal,Referred,$550.44,,,
3/31/2019,2019,March,151443,Female,76,(55+),Single,Vermont,Platinum,Employees,Other,Referred,"$1,672.01",,,
3/31/2019,2019,March,151444,Female,60,(55+),Single,New Jersey,Basic,Self-employed,Card,Referred,"$1,891.16",,,
3/31/2019,2019,March,151445,Female,45,(40-54),Married,Arizona,Basic,Workers,Card,Referred,"$1,692.07",,,
4/1/2019,2019,April,151446,Male,54,(40-54),Single,West Virginia,Gold,Self-employed,PayPal,Referred,$485.43,,,
4/1/2019,2019,April,151447,Female,57,(55+),Single,Georgia,Basic,Unemployment,PayPal,Referred,$625.29,,,
4/1/2019,2019,April,151448,Male,48,(40-54),Single,Wisconsin,Basic,Self-employed,PayPal,Referred,"$1,471.54",,,
4/2/2019,2019,April,151450,Male,27,(25-39),Single,California,Basic,Employees,PayPal,Referred,"$1,929.33",,,
4/2/2019,2019,April,151452,Male,57,(55+),Married,Texas,Silver,Employees,PayPal,Referred,"$2,670.72",,,
4/3/2019,2019,April,151454,Male,34,(25-39),Married,Texas,Basic,Self-employed,Card,No Referral,"$1,901.16",,,
4/4/2019,2019,April,151455,Female,48,(40-54),Married,Alaska,Gold,Workers,Card,No Referral,"$1,728.06",,,
4/4/2019,2019,April,151457,Female,49,(40-54),Single,Hawaii,Basic,Workers,PayPal,Referred,"$1,822.31",,,
4/4/2019,2019,April,151458,Female,77,(55+),Single,Arizona,Basic,Self-employed,Card,No Referral,$711.52,,,
4/6/2019,2019,April,151461,Female,15,(15-24),Married,Arizona,Basic,Self-employed,PayPal,Referred,$198.48,,,
4/6/2019,2019,April,151462,Female,58,(55+),Married,Mississippi,Basic,Workers,PayPal,Referred,$418.28,,,
4/6/2019,2019,April,151463,Male,27,(25-39),Single,Oregon,Silver,Workers,PayPal,No Referral,$913.81,,,
4/7/2019,2019,April,151465,Female,36,(25-39),Married,Texas,Platinum,Employees,Card,No Referral,"$1,608.01",,,
4/7/2019,2019,April,151466,Male,43,(40-54),Married,Montana,Basic,Unemployment,PayPal,Referred,"$2,681.13",,,
4/7/2019,2019,April,151468,Female,59,(55+),Married,Iowa,Gold,Employees,PayPal,No Referral,"$2,410.23",,,
4/8/2019,2019,April,151469,Female,73,(55+),Married,Texas,Basic,Workers,PayPal,Referred,$63.20,,,
4/8/2019,2019,April,151471,Female,51,(40-54),Married,South Dakota,Silver,Workers,PayPal,Referred,"$2,558.27",,,
4/8/2019,2019,April,151472,Female,51,(40-54),Married,Vermont,Basic,Self-employed,Other,Referred,$603.47,,,
