,Transaction_date,Year,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
83,02/06/19,2019,151295,Female,22.0,Married,Kansas,Missing,workers,Card,0.0,2061.14
84,02/06/19,2019,151296,Female,33.0,Married,Virginia,Platinum,Employees,PayPal,0.0,2989.33
85,02/06/19,2019,151297,Male,60.0,Married,Utah,Silver,Unemployment,Other,1.0,433.2
86,02/07/19,2019,151298,Female,45.0,Married,Missouri,Platinum,workers,Other,1.0,929.89
87,02/08/19,2019,151299,Male,33.0,Single,Arizona,Silver,workers,PayPal,0.0,2560.26
88,02/08/19,2019,151301,Female,53.0,Single,Colorado,Basic,self-employed,Other,1.0,1888.69
89,02/08/19,2019,151302,Female,70.0,Married,New Hampshire,Missing,Employees,Card,1.0,685.49
90,02/08/19,2019,151303,Male,16.0,Married,Nebraska,Basic,workers,PayPal,1.0,1264.73
91,02/06/19,2019,151297,Male,60.0,Married,Utah,Silver,Unemployment,Other,1.0,433.2
92,02/07/19,2019,151298,Female,45.0,Married,Missouri,Platinum,workers,Other,1.0,929.89
93,02/08/19,2019,151299,Male,33.0,Single,Arizona,Silver,workers,PayPal,0.0,2560.26
94,02/08/19,2019,151301,Female,53.0,Single,Colorado,Basic,self-employed,Other,1.0,1888.69
95,02/08/19,2019,151302,Female,70.0,Married,New Hampshire,Missing,Employees,Card,1.0,685.49
96,02/08/19,2019,151303,Male,16.0,Married,Nebraska,Basic,workers,PayPal,1.0,1264.73
97,02/10/19,2019,151305,Female,25.0,Married,Wyoming,Silver,workers,Other,1.0,309.82
98,02/10/19,2019,151306,Female,76.0,Single,Ohio,Basic,self-employed,PayPal,1.0,1331.62
99,02/11/19,2019,151307,Female,43.0,Married,Wyoming,Basic,Employees,Card,1.0,914.94
100,02/11/19,2019,151308,Female,32.0,Single,Oregon,Basic,workers,PayPal,1.0,2922.53
101,02/11/19,2019,151309,Male,43.0,Married,Tennessee,Silver,self-employed,PayPal,0.0,2434.81
102,02/12/19,2019,151310,Female,19.0,Single,Louisiana,Platinum,workers,Card,0.0,1711.6
103,02/12/19,2019,151311,Female,41.0,Married,Utah,Basic,self-employed,Other,0.0,1178.02
104,02/12/19,2019,151312,Male,32.0,Married,Florida,Silver,Employees,PayPal,1.0,15.37
105,02/12/19,2019,151313,Male,76.0,Single,Michigan,Silver,Unemployment,PayPal,1.0,764.34
106,02/12/19,2019,151314,Female,55.0,Married,Kansas,Platinum,Employees,PayPal,1.0,329.18
107,02/13/19,2019,151315,Female,72.0,Single,South Dakota,Basic,Unemployment,Other,0.0,1380.0
108,02/13/19,2019,151316,Male,56.0,Single,Virginia,Platinum,self-employed,PayPal,1.0,46.72
109,02/13/19,2019,151317,Male,74.0,Single,Connecticut,Basic,workers,Other,1.0,560.13
110,02/14/19,2019,151320,Female,31.0,Married,Washington,Missing,self-employed,Card,1.0,2508.55
111,02/14/19,2019,151321,Female,69.0,Single,Montana,Basic,self-employed,PayPal,1.0,2906.08
112,02/15/19,2019,151322,Male,52.0,Single,Michigan,Gold,Unemployment,PayPal,1.0,1093.33
113,02/15/19,2019,151323,Female,15.0,Married,Alaska,Basic,self-employed,Other,0.0,1408.1
114,02/16/19,2019,151324,Male,74.0,Single,Wisconsin,Basic,workers,Card,0.0,490.37
115,02/17/19,2019,151326,Male,24.0,Married,Louisiana,Missing,Employees,Other,0.0,1204.03
116,02/17/19,2019,151327,Female,77.0,Single,Kansas,Platinum,self-employed,PayPal,0.0,200.58
117,02/18/19,2019,151328,Female,16.0,Married,Georgia,Basic,workers,PayPal,0.0,1253.32
118,02/19/19,2019,151329,Female,33.0,Single,Kentucky,Basic,Employees,Card,0.0,1486.32
119,02/19/19,2019,151330,Male,26.0,Married,Idaho,Basic,Unemployment,PayPal,0.0,1461.49
120,02/20/19,2019,151331,Male,28.0,Single,West Virginia,Platinum,workers,Card,1.0,1893.16
121,02/20/19,2019,151332,Female,49.0,Married,Nebraska,Basic,Employees,PayPal,1.0,1321.7
122,02/20/19,2019,151333,Male,52.0,Married,New Mexico,Basic,workers,Other,0.0,861.26
123,02/21/19,2019,151334,Male,18.0,Single,Alabama,Silver,Employees,Other,0.0,459.47
124,02/21/19,2019,151335,Male,71.0,Single,Oregon,Basic,workers,PayPal,0.0,685.01
125,02/21/19,2019,151336,Male,22.0,Married,New Mexico,Gold,workers,PayPal,0.0,1862.93
126,02/21/19,2019,151337,Female,54.0,Married,Michigan,Basic,Unemployment,PayPal,1.0,2831.72
127,02/21/19,2019,151338,Female,77.0,Married,Montana,Basic,workers,Other,1.0,875.44
128,02/21/19,2019,151339,Male,59.0,Married,Ohio,Basic,Employees,Other,1.0,435.79
129,02/22/19,2019,151340,Male,61.0,Married,California,Basic,self-employed,PayPal,1.0,670.59
130,02/23/19,2019,151341,Female,45.0,Married,Montana,Basic,Employees,PayPal,0.0,2497.39
131,02/23/19,2019,151342,Male,39.0,Married,Pennsylvania,Silver,workers,Other,1.0,93.11
132,02/24/19,2019,151343,Male,16.0,Married,Oklahoma,Gold,Employees,Card,1.0,2497.12
133,02/25/19,2019,151344,Female,28.0,Single,North Dakota,Silver,Employees,Card,1.0,1733.65
134,02/26/19,2019,151345,Male,25.0,Married,West Virginia,Basic,Employees,PayPal,1.0,2746.61
135,02/26/19,2019,151346,Female,42.0,Married,Arkansas,Silver,Employees,Card,1.0,2789.59
136,02/26/19,2019,151347,Female,28.0,Married,California,Basic,Employees,PayPal,1.0,1287.31
137,02/27/19,2019,151348,Male,63.0,Married,Arizona,Gold,Employees,PayPal,1.0,1747.91
138,02/28/19,2019,151350,Female,78.0,Single,Michigan,Basic,Employees,PayPal,0.0,2555.05
139,03/01/19,2019,151351,Female,75.0,Married,Oklahoma,Basic,self-employed,Other,1.0,1319.12
140,03/01/19,2019,151352,Female,64.0,Married,New York,Basic,Employees,PayPal,1.0,1581.77
141,03/02/19,2019,151353,Female,28.0,Single,Vermont,Silver,workers,Other,1.0,2422.79
142,03/02/19,2019,151354,Female,42.0,Single,Illinois,Silver,Employees,Card,1.0,971.01
143,03/02/19,2019,151355,Female,66.0,Married,Georgia,Basic,Employees,PayPal,1.0,783.89
144,03/03/19,2019,151356,Female,62.0,Married,Mississippi,Silver,Unemployment,Other,1.0,503.49
145,03/03/19,2019,151357,Male,15.0,Married,Florida,Gold,Employees,Other,1.0,1790.9
146,03/03/19,2019,151358,Male,76.0,Married,Georgia,Missing,workers,Other,1.0,1832.59
147,03/04/19,2019,151359,Female,53.0,Married,Nevada,Platinum,self-employed,PayPal,0.0,71.73
148,03/04/19,2019,151360,Male,39.0,Married,Idaho,Basic,Employees,PayPal,1.0,2486.94
149,03/04/19,2019,151361,Female,58.0,Married,North Carolina,Silver,Employees,PayPal,1.0,520.69
150,03/05/19,2019,151362,Female,30.0,Married,New Jersey,Gold,Employees,Card,1.0,918.51
151,03/05/19,2019,151363,Female,17.0,Single,West Virginia,Basic,self-employed,PayPal,1.0,1070.97
152,03/06/19,2019,151365,Female,20.0,Married,Georgia,Silver,self-employed,PayPal,1.0,1618.44
153,03/06/19,2019,151366,Male,46.0,Married,Alaska,Platinum,Unemployment,Other,1.0,2417.73
154,03/07/19,2019,151369,Female,20.0,Single,Minnesota,Basic,Employees,PayPal,0.0,922.31
155,03/07/19,2019,151370,Female,30.0,Married,Maryland,Platinum,workers,PayPal,1.0,350.68
156,03/07/19,2019,151371,Male,40.0,Married,Rhode Island,Silver,workers,Card,1.0,1152.11
157,03/07/19,2019,151372,Male,45.0,Single,Ohio,Basic,Employees,Other,1.0,1742.52
158,03/08/19,2019,151373,Female,17.0,Single,Hawaii,Silver,Employees,Card,1.0,655.42
159,03/08/19,2019,151374,Female,40.0,Married,Idaho,Silver,workers,Other,0.0,1977.22
160,03/09/19,2019,151375,Female,47.0,Married,West Virginia,Basic,workers,Other,0.0,1829.32
161,03/10/19,2019,151378,Female,25.0,Single,Wyoming,Platinum,Unemployment,Card,1.0,2740.57
162,03/10/19,2019,151380,Female,17.0,Married,Mississippi,Basic,Unemployment,Card,1.0,1277.84
163,03/12/19,2019,151382,Female,62.0,Married,New Mexico,Platinum,Employees,Card,0.0,103.59
164,03/12/19,2019,151383,Male,33.0,Married,Delaware,Basic,Employees,Other,1.0,1064.87
165,03/13/19,2019,151385,Male,43.0,Married,Missouri,Silver,Employees,Card,0.0,2903.96
166,03/13/19,2019,151386,Female,34.0,Married,Alaska,Missing,workers,Card,0.0,1493.1
167,03/14/19,2019,151387,Female,49.0,Married,Oklahoma,Missing,Employees,PayPal,0.0,2562.52
168,03/14/19,2019,151390,Male,47.0,Single,Wyoming,Gold,Unemployment,Other,1.0,234.19
169,03/14/19,2019,151391,Female,15.0,Married,Wyoming,Basic,Employees,PayPal,1.0,2089.53
170,03/15/19,2019,151392,Male,66.0,Married,Massachusetts,Silver,workers,PayPal,1.0,2698.5
171,03/15/19,2019,151394,Male,62.0,Single,Texas,Silver,Employees,Card,0.0,69.84
172,03/16/19,2019,151396,Male,21.0,Single,Minnesota,Platinum,workers,PayPal,1.0,2635.13
173,03/17/19,2019,151398,Male,17.0,Married,Nevada,Silver,Employees,Other,1.0,1092.95
174,03/18/19,2019,151401,Male,64.0,Single,North Carolina,Platinum,Unemployment,Card,1.0,2590.51
175,03/19/19,2019,151402,Male,54.0,Single,North Dakota,Basic,Employees,Card,1.0,1659.73
176,03/20/19,2019,151403,Female,45.0,Single,Montana,Platinum,Employees,PayPal,1.0,968.41
177,03/20/19,2019,151404,Female,43.0,Married,Maine,Silver,workers,PayPal,0.0,705.68
178,03/20/19,2019,151405,Male,26.0,Married,Minnesota,Basic,Employees,Card,0.0,982.4
179,03/21/19,2019,151406,Male,17.0,Single,North Carolina,Basic,self-employed,Other,1.0,1390.46
180,03/21/19,2019,151407,Male,78.0,Married,Idaho,Silver,workers,Card,0.0,378.43
181,03/21/19,2019,151408,Female,65.0,Married,Vermont,Platinum,Employees,Card,1.0,61.35
182,03/21/19,2019,151409,Male,19.0,Single,Massachusetts,Basic,Unemployment,PayPal,1.0,1081.9
183,03/21/19,2019,151411,Female,35.0,Single,New Mexico,Basic,workers,PayPal,0.0,2878.76
184,03/22/19,2019,151412,Female,41.0,Married,Michigan,Silver,Employees,PayPal,1.0,225.14
185,03/22/19,2019,151413,Male,59.0,Single,Missouri,Platinum,workers,Other,1.0,2452.97
186,03/22/19,2019,151414,Female,64.0,Married,Vermont,Platinum,workers,Other,1.0,2054.68
187,03/23/19,2019,151415,Female,15.0,Single,New York,Basic,self-employed,PayPal,1.0,1690.62
188,03/23/19,2019,151417,Male,62.0,Married,Vermont,Basic,Employees,Card,1.0,2875.62
189,03/23/19,2019,151418,Male,41.0,Single,Virginia,Basic,Employees,Card,1.0,1326.62
190,03/24/19,2019,151420,Female,18.0,Single,Florida,Silver,workers,PayPal,1.0,2493.01
191,03/24/19,2019,151421,Male,63.0,Married,Indiana,Gold,self-employed,Card,1.0,414.51
192,03/25/19,2019,151422,Female,71.0,Married,Oklahoma,Gold,workers,PayPal,1.0,1865.09
193,03/25/19,2019,151424,Female,51.0,Married,Oklahoma,Platinum,workers,PayPal,1.0,1165.53
194,03/25/19,2019,151426,Female,78.0,Single,Indiana,Basic,Employees,PayPal,1.0,1264.81
195,03/26/19,2019,151427,Male,70.0,Married,South Dakota,Platinum,Employees,PayPal,1.0,1989.96
196,03/27/19,2019,151429,Male,16.0,Married,Idaho,Basic,self-employed,PayPal,1.0,387.77
197,03/28/19,2019,151430,Female,18.0,Single,Illinois,Basic,Unemployment,PayPal,1.0,2589.36
198,03/29/19,2019,151431,Female,53.0,Single,Virginia,Platinum,workers,PayPal,0.0,1494.1
199,03/29/19,2019,151432,Female,47.0,Single,South Carolina,Silver,workers,Card,1.0,2779.66
200,03/29/19,2019,151433,Male,57.0,Married,New Jersey,Platinum,Unemployment,Other,1.0,841.23
201,03/29/19,2019,151435,Male,19.0,Married,Massachusetts,Gold,workers,Other,1.0,2694.54
202,03/29/19,2019,151436,Male,64.0,Single,Mississippi,Basic,Employees,Card,0.0,2432.67
203,03/29/19,2019,151437,Male,57.0,Single,Nevada,Basic,self-employed,PayPal,1.0,80.64
204,03/30/19,2019,151438,Female,67.0,Married,South Carolina,Basic,workers,PayPal,1.0,2960.41
205,03/30/19,2019,151439,Female,53.0,Married,New Hampshire,Basic,workers,Other,0.0,2600.69
206,03/30/19,2019,151440,Female,68.0,Married,Ohio,Basic,Employees,PayPal,1.0,550.44
207,03/31/19,2019,151443,Female,76.0,Single,Vermont,Platinum,Employees,Other,1.0,1672.01
208,03/31/19,2019,151444,Female,60.0,Single,New Jersey,Basic,self-employed,Card,1.0,1891.16
209,03/31/19,2019,151445,Female,45.0,Married,Arizona,Basic,workers,Card,1.0,1692.07
210,04/01/19,2019,151446,Male,54.0,Single,West Virginia,Gold,self-employed,PayPal,1.0,485.43
211,04/01/19,2019,151447,Female,57.0,Single,Georgia,Basic,Unemployment,PayPal,1.0,625.29
212,04/01/19,2019,151448,Male,48.0,Single,Wisconsin,Basic,self-employed,PayPal,1.0,1471.54
213,04/02/19,2019,151450,Male,27.0,Single,California,Basic,Employees,PayPal,1.0,1929.33
214,04/02/19,2019,151452,Male,57.0,Married,Texas,Silver,Employees,PayPal,1.0,2670.72
215,04/03/19,2019,151454,Male,34.0,Married,Texas,Basic,self-employed,Card,0.0,1901.16
216,04/04/19,2019,151455,Female,48.0,Married,Alaska,Gold,workers,Card,0.0,1728.06
217,04/04/19,2019,151457,Female,49.0,Single,Hawaii,Basic,workers,PayPal,1.0,1822.31
218,04/04/19,2019,151458,Female,77.0,Single,Arizona,Basic,self-employed,Card,0.0,711.52
219,04/06/19,2019,151461,Female,15.0,Married,Arizona,Basic,self-employed,PayPal,1.0,198.48
220,04/06/19,2019,151462,Female,58.0,Married,Mississippi,Basic,workers,PayPal,1.0,418.28
221,04/06/19,2019,151463,Male,27.0,Single,Oregon,Silver,workers,PayPal,0.0,913.81
222,04/07/19,2019,151465,Female,36.0,Married,Texas,Platinum,Employees,Card,0.0,1608.01
223,04/07/19,2019,151466,Male,43.0,Married,Montana,Basic,Unemployment,PayPal,1.0,2681.13
224,04/07/19,2019,151468,Female,59.0,Married,Iowa,Gold,Employees,PayPal,0.0,2410.23
225,04/08/19,2019,151469,Female,73.0,Married,Texas,Basic,workers,PayPal,1.0,63.2
226,04/08/19,2019,151471,Female,51.0,Married,South Dakota,Silver,workers,PayPal,1.0,2558.27
227,04/08/19,2019,151472,Female,51.0,Married,Vermont,Basic,self-employed,Other,1.0,603.47
228,04/09/19,2019,151473,Female,45.0,Single,Colorado,Silver,Employees,Card,0.0,2790.3
229,04/10/19,2019,151474,Female,50.0,Married,South Carolina,Platinum,Employees,PayPal,1.0,801.07
230,04/10/19,2019,151475,Female,56.0,Married,Wyoming,Basic,Employees,PayPal,1.0,250.81
231,04/10/19,2019,151476,Female,74.0,Married,Florida,Basic,workers,Other,1.0,2076.39
232,04/10/19,2019,151478,Male,22.0,Single,Pennsylvania,Basic,Employees,PayPal,1.0,2928.57
233,04/11/19,2019,151479,Female,71.0,Single,Vermont,Platinum,Employees,PayPal,1.0,1707.96
234,04/11/19,2019,151480,Male,59.0,Married,Mississippi,Basic,self-employed,Card,1.0,2501.05
235,04/11/19,2019,151481,Female,46.0,Married,Oklahoma,Basic,Employees,Card,1.0,1757.27
236,04/11/19,2019,151482,Male,47.0,Single,Georgia,Platinum,workers,PayPal,1.0,1994.46
237,04/11/19,2019,151484,Male,56.0,Single,Florida,Missing,workers,Other,1.0,1600.96
238,04/12/19,2019,151485,Female,55.0,Married,Arizona,Basic,self-employed,Other,1.0,2773.68
239,04/12/19,2019,151486,Male,43.0,Single,Nebraska,Silver,self-employed,PayPal,1.0,2749.66
240,04/13/19,2019,151488,Female,37.0,Single,Arizona,Silver,workers,Other,1.0,1733.91
241,04/13/19,2019,151490,Female,73.0,Married,Wisconsin,Basic,Unemployment,PayPal,1.0,2787.95
242,04/14/19,2019,151491,Male,48.0,Married,California,Platinum,workers,PayPal,1.0,910.97
243,04/14/19,2019,151492,Female,78.0,Single,Oregon,Silver,workers,PayPal,0.0,7.44
244,04/14/19,2019,151493,Male,53.0,Single,Colorado,Basic,Employees,Card,1.0,1342.22
245,04/15/19,2019,151495,Female,55.0,Married,North Dakota,Basic,Employees,PayPal,1.0,2084.64
246,04/16/19,2019,151496,Female,63.0,Single,Hawaii,Silver,workers,PayPal,0.0,945.7
247,04/16/19,2019,151497,Female,15.0,Single,South Dakota,Missing,Employees,PayPal,0.0,1380.2
248,04/17/19,2019,151498,Male,57.0,Single,Kentucky,Basic,Unemployment,PayPal,0.0,663.43
249,04/17/19,2019,151501,Male,28.0,Single,Alaska,Platinum,Employees,PayPal,0.0,1834.95
250,04/17/19,2019,151502,Male,18.0,Married,Arizona,Basic,Unemployment,Card,1.0,1835.84
251,04/17/19,2019,151503,Female,35.0,Single,Illinois,Gold,workers,Card,1.0,1884.42
252,04/18/19,2019,151504,Female,70.0,Married,Nevada,Basic,Employees,PayPal,1.0,1176.71
253,04/19/19,2019,151505,Female,50.0,Married,Vermont,Basic,Employees,PayPal,0.0,53.82
254,04/19/19,2019,151506,Female,54.0,Married,Maine,Platinum,workers,PayPal,0.0,982.39
255,04/19/19,2019,151507,Female,48.0,Married,Kentucky,Basic,workers,PayPal,1.0,1690.7
256,04/20/19,2019,151509,Female,30.0,Married,Michigan,Platinum,Employees,PayPal,1.0,2703.18
257,04/20/19,2019,151510,Female,38.0,Married,Texas,Basic,Employees,PayPal,0.0,281.95
258,04/20/19,2019,151511,Male,32.0,Married,Hawaii,Basic,self-employed,Other,1.0,338.98
259,04/21/19,2019,151512,Male,67.0,Married,Pennsylvania,Silver,workers,PayPal,0.0,883.97
260,04/21/19,2019,151513,Female,58.0,Married,Vermont,Silver,Employees,PayPal,1.0,2861.87
261,04/21/19,2019,151514,Male,31.0,Married,Oregon,Basic,Unemployment,Other,1.0,975.49
262,04/21/19,2019,151515,Male,42.0,Single,Ohio,Basic,workers,Other,1.0,421.83
263,04/21/19,2019,151516,Male,62.0,Married,Alaska,Basic,Employees,Other,1.0,588.88
264,04/21/19,2019,151517,Male,54.0,Single,New York,Platinum,Employees,Other,0.0,2463.7
265,04/21/19,2019,151518,Male,66.0,Single,Connecticut,Silver,workers,PayPal,0.0,639.44
266,04/21/19,2019,151519,Female,43.0,Single,Oklahoma,Basic,workers,PayPal,0.0,52.2
267,04/22/19,2019,151523,Female,42.0,Married,Michigan,Basic,Employees,Other,1.0,2969.97
268,04/22/19,2019,151524,Male,70.0,Married,Kansas,Basic,self-employed,PayPal,0.0,492.4
269,04/23/19,2019,151525,Female,42.0,Married,Pennsylvania,Basic,workers,PayPal,1.0,131.92
270,04/23/19,2019,151526,Male,22.0,Married,New Hampshire,Silver,Employees,Other,1.0,2621.53
271,04/24/19,2019,151527,Female,17.0,Married,Kentucky,Basic,Employees,Card,0.0,2062.18
272,04/25/19,2019,151529,Male,54.0,Married,Florida,Missing,Employees,Card,1.0,877.61
273,04/25/19,2019,151530,Female,55.0,Married,California,Basic,Employees,PayPal,0.0,2491.79
274,04/26/19,2019,151531,Female,30.0,Married,North Carolina,Missing,self-employed,Card,1.0,2660.45
275,04/26/19,2019,151532,Male,61.0,Single,New York,Silver,Employees,Other,0.0,2910.02
