Transaction_date,Year,Month,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
01/14/19,2019,01,151235,Male,70.0,Married,New Hampshire,Silver,workers,Other,1.0,2040.29
01/14/19,2019,01,151236,Male,75.0,Married,Washington,Platinum,Employees,PayPal,1.0,2744.88
01/16/19,2019,01,151237,Male,64.0,Married,Texas,Missing,Employees,PayPal,1.0,351.88
01/16/19,2019,01,151238,Female,64.0,Married,Ohio,Silver,Unemployment,Other,0.0,692.14
01/17/19,2019,01,151239,Male,64.0,Married,New York,Silver,Unemployment,PayPal,1.0,2418.62
01/17/19,2019,01,151240,Female,21.0,Married,Kentucky,Basic,workers,Card,0.0,2734.15
01/17/19,2019,01,151241,Female,46.0,Married,New Mexico,Silver,workers,PayPal,1.0,2851.83
01/17/19,2019,01,151242,Female,16.0,Single,Texas,Gold,self-employed,PayPal,1.0,938.16
01/18/19,2019,01,151243,Female,63.0,Married,Maine,Gold,workers,PayPal,1.0,281.92
01/19/19,2019,01,151244,Male,75.0,Single,Massachusetts,Basic,Employees,PayPal,1.0,747.68
01/20/19,2019,01,151245,Male,70.0,Married,Wyoming,Basic,Unemployment,Card,1.0,1784.15
01/20/19,2019,01,151246,Male,41.0,Single,Kentucky,Missing,Employees,PayPal,1.0,1115.9
01/21/19,2019,01,151247,Male,33.0,Married,Florida,Silver,Employees,Other,0.0,1902.47
01/21/19,2019,01,151248,Female,64.0,Single,Massachusetts,Platinum,self-employed,Card,1.0,1949.92
01/22/19,2019,01,151250,Female,16.0,Married,Maryland,Silver,Employees,PayPal,1.0,583.72
01/22/19,2019,01,151251,Male,56.0,Single,Louisiana,Basic,self-employed,Card,0.0,2445.03
01/22/19,2019,01,151252,Male,35.0,Married,North Carolina,Basic,Unemployment,PayPal,1.0,1107.96
01/23/19,2019,01,151253,Male,51.0,Single,Kentucky,Basic,self-employed,PayPal,1.0,1312.78
01/23/19,2019,01,151254,Male,15.0,Married,Illinois,Basic,Employees,Card,1.0,2690.18
01/24/19,2019,01,151255,Male,26.0,Single,Rhode Island,Basic,workers,PayPal,1.0,2603.22
01/25/19,2019,01,151256,Female,67.0,Single,Iowa,Gold,Employees,PayPal,1.0,611.7
01/25/19,2019,01,151257,Male,71.0,Single,Massachusetts,Gold,Employees,PayPal,1.0,2569.67
01/25/19,2019,01,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09
01/26/19,2019,01,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64
01/26/19,2019,01,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1
01/27/19,2019,01,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56
01/25/19,2019,01,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09
01/26/19,2019,01,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64
01/26/19,2019,01,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1
01/27/19,2019,01,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56
01/27/19,2019,01,151264,Male,52.0,Married,Tennessee,Basic,self-employed,PayPal,1.0,2850.48
01/27/19,2019,01,151265,Female,30.0,Single,California,Silver,workers,Card,0.0,1947.2
01/29/19,2019,01,151266,Male,24.0,Married,Colorado,Platinum,workers,PayPal,0.0,1731.54
01/29/19,2019,01,151270,Male,24.0,Married,Oregon,Silver,workers,Other,1.0,1663.72
01/30/19,2019,01,151273,Female,73.0,Married,Alaska,Platinum,self-employed,PayPal,0.0,1364.31
01/30/19,2019,01,151274,Male,50.0,Single,Oklahoma,Missing,Employees,Card,1.0,2943.46
01/30/19,2019,01,151275,Male,28.0,Single,Connecticut,Basic,Unemployment,Card,1.0,2768.15
01/31/19,2019,01,151276,Female,49.0,Married,Vermont,Basic,workers,PayPal,1.0,2439.65
01/31/19,2019,01,151277,Female,70.0,Married,Ohio,Silver,workers,Other,1.0,574.1
02/01/19,2019,02,151278,Female,61.0,Single,Oklahoma,Basic,self-employed,Card,0.0,206.79
02/02/19,2019,02,151280,Male,34.0,Single,Illinois,Silver,workers,PayPal,1.0,1933.66
02/02/19,2019,02,151281,Female,58.0,Married,Nevada,Gold,workers,Card,0.0,2640.72
02/02/19,2019,02,151282,Male,70.0,Single,New Jersey,Basic,workers,PayPal,0.0,2969.24
02/02/19,2019,02,151283,Female,48.0,Married,Louisiana,Silver,Employees,Other,0.0,1144.28
02/03/19,2019,02,151285,Female,51.0,Married,Indiana,Platinum,workers,PayPal,1.0,2722.37
02/03/19,2019,02,151286,Male,45.0,Single,New York,Basic,Employees,Other,0.0,2823.89
02/04/19,2019,02,151287,Female,45.0,Single,New York,Silver,workers,PayPal,0.0,1955.43
02/04/19,2019,02,151288,Male,60.0,Married,Rhode Island,Silver,Employees,Card,1.0,841.26
02/05/19,2019,02,151290,Female,51.0,Single,Arkansas,Platinum,workers,Card,1.0,2547.96
02/05/19,2019,02,151291,Female,15.0,Single,Virginia,Basic,Unemployment,Card,1.0,2922.97
02/05/19,2019,02,151292,Male,55.0,Married,Michigan,Basic,Employees,PayPal,0.0,803.5
02/06/19,2019,02,151293,Male,75.0,Married,Maryland,Basic,Employees,Card,1.0,1612.63
02/06/19,2019,02,151294,Female,77.0,Single,Nebraska,Platinum,Employees,PayPal,1.0,1608.27
02/06/19,2019,02,151295,Female,22.0,Married,Kansas,Missing,workers,Card,0.0,2061.14
02/06/19,2019,02,151296,Female,33.0,Married,Virginia,Platinum,Employees,PayPal,0.0,2989.33
02/06/19,2019,02,151297,Male,60.0,Married,Utah,Silver,Unemployment,Other,1.0,433.2
02/07/19,2019,02,151298,Female,45.0,Married,Missouri,Platinum,workers,Other,1.0,929.89
02/08/19,2019,02,151299,Male,33.0,Single,Arizona,Silver,workers,PayPal,0.0,2560.26
02/08/19,2019,02,151301,Female,53.0,Single,Colorado,Basic,self-employed,Other,1.0,1888.69
02/08/19,2019,02,151302,Female,70.0,Married,New Hampshire,Missing,Employees,Card,1.0,685.49
02/08/19,2019,02,151303,Male,16.0,Married,Nebraska,Basic,workers,PayPal,1.0,1264.73
02/06/19,2019,02,151297,Male,60.0,Married,Utah,Silver,Unemployment,Other,1.0,433.2
02/07/19,2019,02,151298,Female,45.0,Married,Missouri,Platinum,workers,Other,1.0,929.89
02/08/19,2019,02,151299,Male,33.0,Single,Arizona,Silver,workers,PayPal,0.0,2560.26
02/08/19,2019,02,151301,Female,53.0,Single,Colorado,Basic,self-employed,Other,1.0,1888.69
02/08/19,2019,02,151302,Female,70.0,Married,New Hampshire,Missing,Employees,Card,1.0,685.49
02/08/19,2019,02,151303,Male,16.0,Married,Nebraska,Basic,workers,PayPal,1.0,1264.73
02/10/19,2019,02,151305,Female,25.0,Married,Wyoming,Silver,workers,Other,1.0,309.82
02/10/19,2019,02,151306,Female,76.0,Single,Ohio,Basic,self-employed,PayPal,1.0,1331.62
02/11/19,2019,02,151307,Female,43.0,Married,Wyoming,Basic,Employees,Card,1.0,914.94
02/11/19,2019,02,151308,Female,32.0,Single,Oregon,Basic,workers,PayPal,1.0,2922.53
02/11/19,2019,02,151309,Male,43.0,Married,Tennessee,Silver,self-employed,PayPal,0.0,2434.81
02/12/19,2019,02,151310,Female,19.0,Single,Louisiana,Platinum,workers,Card,0.0,1711.6
02/12/19,2019,02,151311,Female,41.0,Married,Utah,Basic,self-employed,Other,0.0,1178.02
02/12/19,2019,02,151312,Male,32.0,Married,Florida,Silver,Employees,PayPal,1.0,15.37
02/12/19,2019,02,151313,Male,76.0,Single,Michigan,Silver,Unemployment,PayPal,1.0,764.34
02/12/19,2019,02,151314,Female,55.0,Married,Kansas,Platinum,Employees,PayPal,1.0,329.18
02/13/19,2019,02,151315,Female,72.0,Single,South Dakota,Basic,Unemployment,Other,0.0,1380.0
02/13/19,2019,02,151316,Male,56.0,Single,Virginia,Platinum,self-employed,PayPal,1.0,46.72
02/13/19,2019,02,151317,Male,74.0,Single,Connecticut,Basic,workers,Other,1.0,560.13
02/14/19,2019,02,151320,Female,31.0,Married,Washington,Missing,self-employed,Card,1.0,2508.55
02/14/19,2019,02,151321,Female,69.0,Single,Montana,Basic,self-employed,PayPal,1.0,2906.08
02/15/19,2019,02,151322,Male,52.0,Single,Michigan,Gold,Unemployment,PayPal,1.0,1093.33
02/15/19,2019,02,151323,Female,15.0,Married,Alaska,Basic,self-employed,Other,0.0,1408.1
02/16/19,2019,02,151324,Male,74.0,Single,Wisconsin,Basic,workers,Card,0.0,490.37
02/17/19,2019,02,151326,Male,24.0,Married,Louisiana,Missing,Employees,Other,0.0,1204.03
02/17/19,2019,02,151327,Female,77.0,Single,Kansas,Platinum,self-employed,PayPal,0.0,200.58
02/18/19,2019,02,151328,Female,16.0,Married,Georgia,Basic,workers,PayPal,0.0,1253.32
02/19/19,2019,02,151329,Female,33.0,Single,Kentucky,Basic,Employees,Card,0.0,1486.32
02/19/19,2019,02,151330,Male,26.0,Married,Idaho,Basic,Unemployment,PayPal,0.0,1461.49
02/20/19,2019,02,151331,Male,28.0,Single,West Virginia,Platinum,workers,Card,1.0,1893.16
02/20/19,2019,02,151332,Female,49.0,Married,Nebraska,Basic,Employees,PayPal,1.0,1321.7
02/20/19,2019,02,151333,Male,52.0,Married,New Mexico,Basic,workers,Other,0.0,861.26
02/21/19,2019,02,151334,Male,18.0,Single,Alabama,Silver,Employees,Other,0.0,459.47
02/21/19,2019,02,151335,Male,71.0,Single,Oregon,Basic,workers,PayPal,0.0,685.01
02/21/19,2019,02,151336,Male,22.0,Married,New Mexico,Gold,workers,PayPal,0.0,1862.93
02/21/19,2019,02,151337,Female,54.0,Married,Michigan,Basic,Unemployment,PayPal,1.0,2831.72
02/21/19,2019,02,151338,Female,77.0,Married,Montana,Basic,workers,Other,1.0,875.44
02/21/19,2019,02,151339,Male,59.0,Married,Ohio,Basic,Employees,Other,1.0,435.79
02/22/19,2019,02,151340,Male,61.0,Married,California,Basic,self-employed,PayPal,1.0,670.59
02/23/19,2019,02,151341,Female,45.0,Married,Montana,Basic,Employees,PayPal,0.0,2497.39
02/23/19,2019,02,151342,Male,39.0,Married,Pennsylvania,Silver,workers,Other,1.0,93.11
02/24/19,2019,02,151343,Male,16.0,Married,Oklahoma,Gold,Employees,Card,1.0,2497.12
02/25/19,2019,02,151344,Female,28.0,Single,North Dakota,Silver,Employees,Card,1.0,1733.65
02/26/19,2019,02,151345,Male,25.0,Married,West Virginia,Basic,Employees,PayPal,1.0,2746.61
02/26/19,2019,02,151346,Female,42.0,Married,Arkansas,Silver,Employees,Card,1.0,2789.59
02/26/19,2019,02,151347,Female,28.0,Married,California,Basic,Employees,PayPal,1.0,1287.31
02/27/19,2019,02,151348,Male,63.0,Married,Arizona,Gold,Employees,PayPal,1.0,1747.91
02/28/19,2019,02,151350,Female,78.0,Single,Michigan,Basic,Employees,PayPal,0.0,2555.05
03/01/19,2019,03,151351,Female,75.0,Married,Oklahoma,Basic,self-employed,Other,1.0,1319.12
03/01/19,2019,03,151352,Female,64.0,Married,New York,Basic,Employees,PayPal,1.0,1581.77
03/02/19,2019,03,151353,Female,28.0,Single,Vermont,Silver,workers,Other,1.0,2422.79
03/02/19,2019,03,151354,Female,42.0,Single,Illinois,Silver,Employees,Card,1.0,971.01
03/02/19,2019,03,151355,Female,66.0,Married,Georgia,Basic,Employees,PayPal,1.0,783.89
03/03/19,2019,03,151356,Female,62.0,Married,Mississippi,Silver,Unemployment,Other,1.0,503.49
03/03/19,2019,03,151357,Male,15.0,Married,Florida,Gold,Employees,Other,1.0,1790.9
03/03/19,2019,03,151358,Male,76.0,Married,Georgia,Missing,workers,Other,1.0,1832.59
03/04/19,2019,03,151359,Female,53.0,Married,Nevada,Platinum,self-employed,PayPal,0.0,71.73
03/04/19,2019,03,151360,Male,39.0,Married,Idaho,Basic,Employees,PayPal,1.0,2486.94
03/04/19,2019,03,151361,Female,58.0,Married,North Carolina,Silver,Employees,PayPal,1.0,520.69
03/05/19,2019,03,151362,Female,30.0,Married,New Jersey,Gold,Employees,Card,1.0,918.51
03/05/19,2019,03,151363,Female,17.0,Single,West Virginia,Basic,self-employed,PayPal,1.0,1070.97
03/06/19,2019,03,151365,Female,20.0,Married,Georgia,Silver,self-employed,PayPal,1.0,1618.44
03/06/19,2019,03,151366,Male,46.0,Married,Alaska,Platinum,Unemployment,Other,1.0,2417.73
03/07/19,2019,03,151369,Female,20.0,Single,Minnesota,Basic,Employees,PayPal,0.0,922.31
03/07/19,2019,03,151370,Female,30.0,Married,Maryland,Platinum,workers,PayPal,1.0,350.68
03/07/19,2019,03,151371,Male,40.0,Married,Rhode Island,Silver,workers,Card,1.0,1152.11
03/07/19,2019,03,151372,Male,45.0,Single,Ohio,Basic,Employees,Other,1.0,1742.52
03/08/19,2019,03,151373,Female,17.0,Single,Hawaii,Silver,Employees,Card,1.0,655.42
03/08/19,2019,03,151374,Female,40.0,Married,Idaho,Silver,workers,Other,0.0,1977.22
03/09/19,2019,03,151375,Female,47.0,Married,West Virginia,Basic,workers,Other,0.0,1829.32
03/10/19,2019,03,151378,Female,25.0,Single,Wyoming,Platinum,Unemployment,Card,1.0,2740.57
03/10/19,2019,03,151380,Female,17.0,Married,Mississippi,Basic,Unemployment,Card,1.0,1277.84
03/12/19,2019,03,151382,Female,62.0,Married,New Mexico,Platinum,Employees,Card,0.0,103.59
03/12/19,2019,03,151383,Male,33.0,Married,Delaware,Basic,Employees,Other,1.0,1064.87
03/13/19,2019,03,151385,Male,43.0,Married,Missouri,Silver,Employees,Card,0.0,2903.96
03/13/19,2019,03,151386,Female,34.0,Married,Alaska,Missing,workers,Card,0.0,1493.1
03/14/19,2019,03,151387,Female,49.0,Married,Oklahoma,Missing,Employees,PayPal,0.0,2562.52
03/14/19,2019,03,151390,Male,47.0,Single,Wyoming,Gold,Unemployment,Other,1.0,234.19
03/14/19,2019,03,151391,Female,15.0,Married,Wyoming,Basic,Employees,PayPal,1.0,2089.53
03/15/19,2019,03,151392,Male,66.0,Married,Massachusetts,Silver,workers,PayPal,1.0,2698.5
03/15/19,2019,03,151394,Male,62.0,Single,Texas,Silver,Employees,Card,0.0,69.84
03/16/19,2019,03,151396,Male,21.0,Single,Minnesota,Platinum,workers,PayPal,1.0,2635.13
03/17/19,2019,03,151398,Male,17.0,Married,Nevada,Silver,Employees,Other,1.0,1092.95
03/18/19,2019,03,151401,Male,64.0,Single,North Carolina,Platinum,Unemployment,Card,1.0,2590.51
03/19/19,2019,03,151402,Male,54.0,Single,North Dakota,Basic,Employees,Card,1.0,1659.73
03/20/19,2019,03,151403,Female,45.0,Single,Montana,Platinum,Employees,PayPal,1.0,968.41
03/20/19,2019,03,151404,Female,43.0,Married,Maine,Silver,workers,PayPal,0.0,705.68
03/20/19,2019,03,151405,Male,26.0,Married,Minnesota,Basic,Employees,Card,0.0,982.4
03/21/19,2019,03,151406,Male,17.0,Single,North Carolina,Basic,self-employed,Other,1.0,1390.46
03/21/19,2019,03,151407,Male,78.0,Married,Idaho,Silver,workers,Card,0.0,378.43
03/21/19,2019,03,151408,Female,65.0,Married,Vermont,Platinum,Employees,Card,1.0,61.35
03/21/19,2019,03,151409,Male,19.0,Single,Massachusetts,Basic,Unemployment,PayPal,1.0,1081.9
03/21/19,2019,03,151411,Female,35.0,Single,New Mexico,Basic,workers,PayPal,0.0,2878.76
03/22/19,2019,03,151412,Female,41.0,Married,Michigan,Silver,Employees,PayPal,1.0,225.14
03/22/19,2019,03,151413,Male,59.0,Single,Missouri,Platinum,workers,Other,1.0,2452.97
03/22/19,2019,03,151414,Female,64.0,Married,Vermont,Platinum,workers,Other,1.0,2054.68
03/23/19,2019,03,151415,Female,15.0,Single,New York,Basic,self-employed,PayPal,1.0,1690.62
03/23/19,2019,03,151417,Male,62.0,Married,Vermont,Basic,Employees,Card,1.0,2875.62
03/23/19,2019,03,151418,Male,41.0,Single,Virginia,Basic,Employees,Card,1.0,1326.62
03/24/19,2019,03,151420,Female,18.0,Single,Florida,Silver,workers,PayPal,1.0,2493.01
03/24/19,2019,03,151421,Male,63.0,Married,Indiana,Gold,self-employed,Card,1.0,414.51
03/25/19,2019,03,151422,Female,71.0,Married,Oklahoma,Gold,workers,PayPal,1.0,1865.09
03/25/19,2019,03,151424,Female,51.0,Married,Oklahoma,Platinum,workers,PayPal,1.0,1165.53
03/25/19,2019,03,151426,Female,78.0,Single,Indiana,Basic,Employees,PayPal,1.0,1264.81
03/26/19,2019,03,151427,Male,70.0,Married,South Dakota,Platinum,Employees,PayPal,1.0,1989.96
03/27/19,2019,03,151429,Male,16.0,Married,Idaho,Basic,self-employed,PayPal,1.0,387.77
03/28/19,2019,03,151430,Female,18.0,Single,Illinois,Basic,Unemployment,PayPal,1.0,2589.36
03/29/19,2019,03,151431,Female,53.0,Single,Virginia,Platinum,workers,PayPal,0.0,1494.1
03/29/19,2019,03,151432,Female,47.0,Single,South Carolina,Silver,workers,Card,1.0,2779.66
03/29/19,2019,03,151433,Male,57.0,Married,New Jersey,Platinum,Unemployment,Other,1.0,841.23
03/29/19,2019,03,151435,Male,19.0,Married,Massachusetts,Gold,workers,Other,1.0,2694.54
03/29/19,2019,03,151436,Male,64.0,Single,Mississippi,Basic,Employees,Card,0.0,2432.67
03/29/19,2019,03,151437,Male,57.0,Single,Nevada,Basic,self-employed,PayPal,1.0,80.64
03/30/19,2019,03,151438,Female,67.0,Married,South Carolina,Basic,workers,PayPal,1.0,2960.41
03/30/19,2019,03,151439,Female,53.0,Married,New Hampshire,Basic,workers,Other,0.0,2600.69
03/30/19,2019,03,151440,Female,68.0,Married,Ohio,Basic,Employees,PayPal,1.0,550.44
03/31/19,2019,03,151443,Female,76.0,Single,Vermont,Platinum,Employees,Other,1.0,1672.01
03/31/19,2019,03,151444,Female,60.0,Single,New Jersey,Basic,self-employed,Card,1.0,1891.16
03/31/19,2019,03,151445,Female,45.0,Married,Arizona,Basic,workers,Card,1.0,1692.07
04/01/19,2019,04,151446,Male,54.0,Single,West Virginia,Gold,self-employed,PayPal,1.0,485.43
04/01/19,2019,04,151447,Female,57.0,Single,Georgia,Basic,Unemployment,PayPal,1.0,625.29
04/01/19,2019,04,151448,Male,48.0,Single,Wisconsin,Basic,self-employed,PayPal,1.0,1471.54
04/02/19,2019,04,151450,Male,27.0,Single,California,Basic,Employees,PayPal,1.0,1929.33
04/02/19,2019,04,151452,Male,57.0,Married,Texas,Silver,Employees,PayPal,1.0,2670.72
04/03/19,2019,04,151454,Male,34.0,Married,Texas,Basic,self-employed,Card,0.0,1901.16
04/04/19,2019,04,151455,Female,48.0,Married,Alaska,Gold,workers,Card,0.0,1728.06
04/04/19,2019,04,151457,Female,49.0,Single,Hawaii,Basic,workers,PayPal,1.0,1822.31
04/04/19,2019,04,151458,Female,77.0,Single,Arizona,Basic,self-employed,Card,0.0,711.52
04/06/19,2019,04,151461,Female,15.0,Married,Arizona,Basic,self-employed,PayPal,1.0,198.48
04/06/19,2019,04,151462,Female,58.0,Married,Mississippi,Basic,workers,PayPal,1.0,418.28
04/06/19,2019,04,151463,Male,27.0,Single,Oregon,Silver,workers,PayPal,0.0,913.81
04/07/19,2019,04,151465,Female,36.0,Married,Texas,Platinum,Employees,Card,0.0,1608.01
04/07/19,2019,04,151466,Male,43.0,Married,Montana,Basic,Unemployment,PayPal,1.0,2681.13
04/07/19,2019,04,151468,Female,59.0,Married,Iowa,Gold,Employees,PayPal,0.0,2410.23
04/08/19,2019,04,151469,Female,73.0,Married,Texas,Basic,workers,PayPal,1.0,63.2
04/08/19,2019,04,151471,Female,51.0,Married,South Dakota,Silver,workers,PayPal,1.0,2558.27
04/08/19,2019,04,151472,Female,51.0,Married,Vermont,Basic,self-employed,Other,1.0,603.47
04/09/19,2019,04,151473,Female,45.0,Single,Colorado,Silver,Employees,Card,0.0,2790.3
04/10/19,2019,04,151474,Female,50.0,Married,South Carolina,Platinum,Employees,PayPal,1.0,801.07
04/10/19,2019,04,151475,Female,56.0,Married,Wyoming,Basic,Employees,PayPal,1.0,250.81
04/10/19,2019,04,151476,Female,74.0,Married,Florida,Basic,workers,Other,1.0,2076.39
04/10/19,2019,04,151478,Male,22.0,Single,Pennsylvania,Basic,Employees,PayPal,1.0,2928.57
04/11/19,2019,04,151479,Female,71.0,Single,Vermont,Platinum,Employees,PayPal,1.0,1707.96
04/11/19,2019,04,151480,Male,59.0,Married,Mississippi,Basic,self-employed,Card,1.0,2501.05
04/11/19,2019,04,151481,Female,46.0,Married,Oklahoma,Basic,Employees,Card,1.0,1757.27
04/11/19,2019,04,151482,Male,47.0,Single,Georgia,Platinum,workers,PayPal,1.0,1994.46
04/11/19,2019,04,151484,Male,56.0,Single,Florida,Missing,workers,Other,1.0,1600.96
04/12/19,2019,04,151485,Female,55.0,Married,Arizona,Basic,self-employed,Other,1.0,2773.68
04/12/19,2019,04,151486,Male,43.0,Single,Nebraska,Silver,self-employed,PayPal,1.0,2749.66
04/13/19,2019,04,151488,Female,37.0,Single,Arizona,Silver,workers,Other,1.0,1733.91
04/13/19,2019,04,151490,Female,73.0,Married,Wisconsin,Basic,Unemployment,PayPal,1.0,2787.95
04/14/19,2019,04,151491,Male,48.0,Married,California,Platinum,workers,PayPal,1.0,910.97
04/14/19,2019,04,151492,Female,78.0,Single,Oregon,Silver,workers,PayPal,0.0,7.44
04/14/19,2019,04,151493,Male,53.0,Single,Colorado,Basic,Employees,Card,1.0,1342.22
04/15/19,2019,04,151495,Female,55.0,Married,North Dakota,Basic,Employees,PayPal,1.0,2084.64
04/16/19,2019,04,151496,Female,63.0,Single,Hawaii,Silver,workers,PayPal,0.0,945.7
04/16/19,2019,04,151497,Female,15.0,Single,South Dakota,Missing,Employees,PayPal,0.0,1380.2
04/17/19,2019,04,151498,Male,57.0,Single,Kentucky,Basic,Unemployment,PayPal,0.0,663.43
04/17/19,2019,04,151501,Male,28.0,Single,Alaska,Platinum,Employees,PayPal,0.0,1834.95
04/17/19,2019,04,151502,Male,18.0,Married,Arizona,Basic,Unemployment,Card,1.0,1835.84
04/17/19,2019,04,151503,Female,35.0,Single,Illinois,Gold,workers,Card,1.0,1884.42
04/18/19,2019,04,151504,Female,70.0,Married,Nevada,Basic,Employees,PayPal,1.0,1176.71
04/19/19,2019,04,151505,Female,50.0,Married,Vermont,Basic,Employees,PayPal,0.0,53.82
04/19/19,2019,04,151506,Female,54.0,Married,Maine,Platinum,workers,PayPal,0.0,982.39
04/19/19,2019,04,151507,Female,48.0,Married,Kentucky,Basic,workers,PayPal,1.0,1690.7
04/20/19,2019,04,151509,Female,30.0,Married,Michigan,Platinum,Employees,PayPal,1.0,2703.18
04/20/19,2019,04,151510,Female,38.0,Married,Texas,Basic,Employees,PayPal,0.0,281.95
04/20/19,2019,04,151511,Male,32.0,Married,Hawaii,Basic,self-employed,Other,1.0,338.98
04/21/19,2019,04,151512,Male,67.0,Married,Pennsylvania,Silver,workers,PayPal,0.0,883.97
04/21/19,2019,04,151513,Female,58.0,Married,Vermont,Silver,Employees,PayPal,1.0,2861.87
04/21/19,2019,04,151514,Male,31.0,Married,Oregon,Basic,Unemployment,Other,1.0,975.49
04/21/19,2019,04,151515,Male,42.0,Single,Ohio,Basic,workers,Other,1.0,421.83
04/21/19,2019,04,151516,Male,62.0,Married,Alaska,Basic,Employees,Other,1.0,588.88
04/21/19,2019,04,151517,Male,54.0,Single,New York,Platinum,Employees,Other,0.0,2463.7
04/21/19,2019,04,151518,Male,66.0,Single,Connecticut,Silver,workers,PayPal,0.0,639.44
04/21/19,2019,04,151519,Female,43.0,Single,Oklahoma,Basic,workers,PayPal,0.0,52.2
04/22/19,2019,04,151523,Female,42.0,Married,Michigan,Basic,Employees,Other,1.0,2969.97
04/22/19,2019,04,151524,Male,70.0,Married,Kansas,Basic,self-employed,PayPal,0.0,492.4
04/23/19,2019,04,151525,Female,42.0,Married,Pennsylvania,Basic,workers,PayPal,1.0,131.92
04/23/19,2019,04,151526,Male,22.0,Married,New Hampshire,Silver,Employees,Other,1.0,2621.53
04/24/19,2019,04,151527,Female,17.0,Married,Kentucky,Basic,Employees,Card,0.0,2062.18
04/25/19,2019,04,151529,Male,54.0,Married,Florida,Missing,Employees,Card,1.0,877.61
04/25/19,2019,04,151530,Female,55.0,Married,California,Basic,Employees,PayPal,0.0,2491.79
04/26/19,2019,04,151531,Female,30.0,Married,North Carolina,Missing,self-employed,Card,1.0,2660.45
04/26/19,2019,04,151532,Male,61.0,Single,New York,Silver,Employees,Other,0.0,2910.02
