"","Transaction_date","Transaction_ID","Gender","Age","Marital_status","State_names","Segment","Employees_status","Payment_method","Referal","Amount_spent"
"118",2019-02-18,151328,"Female",16,"Married","Georgia","Basic","workers","PayPal","Not Referred",1253.32
"119",2019-02-19,151329,"Female",33,"Single","Kentucky","Basic","Employees","Card","Not Referred",1486.32
"120",2019-02-19,151330,"Male",26,"Married","Idaho","Basic","Unemployment","PayPal","Not Referred",1461.49
"121",2019-02-20,151331,"Male",28,"Single","West Virginia","Platinum","workers","Card","Reffered",1893.16
"122",2019-02-20,151332,"Female",49,"Married","Nebraska","Basic","Employees","PayPal","Reffered",1321.7
"123",2019-02-20,151333,"Male",52,"Married","New Mexico","Basic","workers","Other","Not Referred",861.26
"124",2019-02-21,151334,"Male",18,"Single","Alabama","Silver","Employees","Other","Not Referred",459.47
"125",2019-02-21,151335,"Male",71,"Single","Oregon","Basic","workers","PayPal","Not Referred",685.01
"126",2019-02-21,151336,"Male",22,"Married","New Mexico","Gold","workers","PayPal","Not Referred",1862.93
"127",2019-02-21,151337,"Female",54,"Married","Michigan","Basic","Unemployment","PayPal","Reffered",2831.72
"128",2019-02-21,151338,"Female",77,"Married","Montana","Basic","workers","Other","Reffered",875.44
"129",2019-02-21,151339,"Male",59,"Married","Ohio","Basic","Employees","Other","Reffered",435.79
"130",2019-02-22,151340,"Male",61,"Married","California","Basic","self-employed","PayPal","Reffered",670.59
"131",2019-02-23,151341,"Female",45,"Married","Montana","Basic","Employees","PayPal","Not Referred",2497.39
"132",2019-02-23,151342,"Male",39,"Married","Pennsylvania","Silver","workers","Other","Reffered",93.11
"133",2019-02-24,151343,"Male",16,"Married","Oklahoma","Gold","Employees","Card","Reffered",2497.12
"134",2019-02-25,151344,"Female",28,"Single","North Dakota","Silver","Employees","Card","Reffered",1733.65
"135",2019-02-26,151345,"Male",25,"Married","West Virginia","Basic","Employees","PayPal","Reffered",2746.61
"136",2019-02-26,151346,"Female",42,"Married","Arkansas","Silver","Employees","Card","Reffered",2789.59
"137",2019-02-26,151347,"Female",28,"Married","California","Basic","Employees","PayPal","Reffered",1287.31
"138",2019-02-27,151348,"Male",63,"Married","Arizona","Gold","Employees","PayPal","Reffered",1747.91
"139",2019-02-28,151350,"Female",78,"Single","Michigan","Basic","Employees","PayPal","Not Referred",2555.05
"140",2019-03-01,151351,"Female",75,"Married","Oklahoma","Basic","self-employed","Other","Reffered",1319.12
"141",2019-03-01,151352,"Female",64,"Married","New York","Basic","Employees","PayPal","Reffered",1581.77
"142",2019-03-02,151353,"Female",28,"Single","Vermont","Silver","workers","Other","Reffered",2422.79
"143",2019-03-02,151354,"Female",42,"Single","Illinois","Silver","Employees","Card","Reffered",971.01
"144",2019-03-02,151355,"Female",66,"Married","Georgia","Basic","Employees","PayPal","Reffered",783.89
"145",2019-03-03,151356,"Female",62,"Married","Mississippi","Silver","Unemployment","Other","Reffered",503.49
"146",2019-03-03,151357,"Male",15,"Married","Florida","Gold","Employees","Other","Reffered",1790.9
"147",2019-03-03,151358,"Male",76,"Married","Georgia","Missing","workers","Other","Reffered",1832.59
"148",2019-03-04,151359,"Female",53,"Married","Nevada","Platinum","self-employed","PayPal","Not Referred",71.73
"149",2019-03-04,151360,"Male",39,"Married","Idaho","Basic","Employees","PayPal","Reffered",2486.94
"150",2019-03-04,151361,"Female",58,"Married","North Carolina","Silver","Employees","PayPal","Reffered",520.69
"151",2019-03-05,151362,"Female",30,"Married","New Jersey","Gold","Employees","Card","Reffered",918.51
"152",2019-03-05,151363,"Female",17,"Single","West Virginia","Basic","self-employed","PayPal","Reffered",1070.97
"153",2019-03-06,151365,"Female",20,"Married","Georgia","Silver","self-employed","PayPal","Reffered",1618.44
"154",2019-03-06,151366,"Male",46,"Married","Alaska","Platinum","Unemployment","Other","Reffered",2417.73
"155",2019-03-07,151369,"Female",20,"Single","Minnesota","Basic","Employees","PayPal","Not Referred",922.31
"156",2019-03-07,151370,"Female",30,"Married","Maryland","Platinum","workers","PayPal","Reffered",350.68
"157",2019-03-07,151371,"Male",40,"Married","Rhode Island","Silver","workers","Card","Reffered",1152.11
"158",2019-03-07,151372,"Male",45,"Single","Ohio","Basic","Employees","Other","Reffered",1742.52
"159",2019-03-08,151373,"Female",17,"Single","Hawaii","Silver","Employees","Card","Reffered",655.42
"160",2019-03-08,151374,"Female",40,"Married","Idaho","Silver","workers","Other","Not Referred",1977.22
"161",2019-03-09,151375,"Female",47,"Married","West Virginia","Basic","workers","Other","Not Referred",1829.32
"162",2019-03-10,151378,"Female",25,"Single","Wyoming","Platinum","Unemployment","Card","Reffered",2740.57
"163",2019-03-10,151380,"Female",17,"Married","Mississippi","Basic","Unemployment","Card","Reffered",1277.84
"164",2019-03-12,151382,"Female",62,"Married","New Mexico","Platinum","Employees","Card","Not Referred",103.59
"165",2019-03-12,151383,"Male",33,"Married","Delaware","Basic","Employees","Other","Reffered",1064.87
"166",2019-03-13,151385,"Male",43,"Married","Missouri","Silver","Employees","Card","Not Referred",2903.96
"167",2019-03-13,151386,"Female",34,"Married","Alaska","Missing","workers","Card","Not Referred",1493.1
"168",2019-03-14,151387,"Female",49,"Married","Oklahoma","Missing","Employees","PayPal","Not Referred",2562.52
"169",2019-03-14,151390,"Male",47,"Single","Wyoming","Gold","Unemployment","Other","Reffered",234.19
"170",2019-03-14,151391,"Female",15,"Married","Wyoming","Basic","Employees","PayPal","Reffered",2089.53
"171",2019-03-15,151392,"Male",66,"Married","Massachusetts","Silver","workers","PayPal","Reffered",2698.5
"172",2019-03-15,151394,"Male",62,"Single","Texas","Silver","Employees","Card","Not Referred",69.84
"173",2019-03-16,151396,"Male",21,"Single","Minnesota","Platinum","workers","PayPal","Reffered",2635.13
"174",2019-03-17,151398,"Male",17,"Married","Nevada","Silver","Employees","Other","Reffered",1092.95
"175",2019-03-18,151401,"Male",64,"Single","North Carolina","Platinum","Unemployment","Card","Reffered",2590.51
"176",2019-03-19,151402,"Male",54,"Single","North Dakota","Basic","Employees","Card","Reffered",1659.73
"177",2019-03-20,151403,"Female",45,"Single","Montana","Platinum","Employees","PayPal","Reffered",968.41
"178",2019-03-20,151404,"Female",43,"Married","Maine","Silver","workers","PayPal","Not Referred",705.68
"179",2019-03-20,151405,"Male",26,"Married","Minnesota","Basic","Employees","Card","Not Referred",982.4
"180",2019-03-21,151406,"Male",17,"Single","North Carolina","Basic","self-employed","Other","Reffered",1390.46
"181",2019-03-21,151407,"Male",78,"Married","Idaho","Silver","workers","Card","Not Referred",378.43
"182",2019-03-21,151408,"Female",65,"Married","Vermont","Platinum","Employees","Card","Reffered",61.35
"183",2019-03-21,151409,"Male",19,"Single","Massachusetts","Basic","Unemployment","PayPal","Reffered",1081.9
"184",2019-03-21,151411,"Female",35,"Single","New Mexico","Basic","workers","PayPal","Not Referred",2878.76
"185",2019-03-22,151412,"Female",41,"Married","Michigan","Silver","Employees","PayPal","Reffered",225.14
"186",2019-03-22,151413,"Male",59,"Single","Missouri","Platinum","workers","Other","Reffered",2452.97
"187",2019-03-22,151414,"Female",64,"Married","Vermont","Platinum","workers","Other","Reffered",2054.68
"188",2019-03-23,151415,"Female",15,"Single","New York","Basic","self-employed","PayPal","Reffered",1690.62
"189",2019-03-23,151417,"Male",62,"Married","Vermont","Basic","Employees","Card","Reffered",2875.62
"190",2019-03-23,151418,"Male",41,"Single","Virginia","Basic","Employees","Card","Reffered",1326.62
"191",2019-03-24,151420,"Female",18,"Single","Florida","Silver","workers","PayPal","Reffered",2493.01
"192",2019-03-24,151421,"Male",63,"Married","Indiana","Gold","self-employed","Card","Reffered",414.51
"193",2019-03-25,151422,"Female",71,"Married","Oklahoma","Gold","workers","PayPal","Reffered",1865.09
"194",2019-03-25,151424,"Female",51,"Married","Oklahoma","Platinum","workers","PayPal","Reffered",1165.53
"195",2019-03-25,151426,"Female",78,"Single","Indiana","Basic","Employees","PayPal","Reffered",1264.81
"196",2019-03-26,151427,"Male",70,"Married","South Dakota","Platinum","Employees","PayPal","Reffered",1989.96
"197",2019-03-27,151429,"Male",16,"Married","Idaho","Basic","self-employed","PayPal","Reffered",387.77
"198",2019-03-28,151430,"Female",18,"Single","Illinois","Basic","Unemployment","PayPal","Reffered",2589.36
"199",2019-03-29,151431,"Female",53,"Single","Virginia","Platinum","workers","PayPal","Not Referred",1494.1
"200",2019-03-29,151432,"Female",47,"Single","South Carolina","Silver","workers","Card","Reffered",2779.66
"201",2019-03-29,151433,"Male",57,"Married","New Jersey","Platinum","Unemployment","Other","Reffered",841.23
"202",2019-03-29,151435,"Male",19,"Married","Massachusetts","Gold","workers","Other","Reffered",2694.54
"203",2019-03-29,151436,"Male",64,"Single","Mississippi","Basic","Employees","Card","Not Referred",2432.67
"204",2019-03-29,151437,"Male",57,"Single","Nevada","Basic","self-employed","PayPal","Reffered",80.64
"205",2019-03-30,151438,"Female",67,"Married","South Carolina","Basic","workers","PayPal","Reffered",2960.41
"206",2019-03-30,151439,"Female",53,"Married","New Hampshire","Basic","workers","Other","Not Referred",2600.69
"207",2019-03-30,151440,"Female",68,"Married","Ohio","Basic","Employees","PayPal","Reffered",550.44
"208",2019-03-31,151443,"Female",76,"Single","Vermont","Platinum","Employees","Other","Reffered",1672.01
"209",2019-03-31,151444,"Female",60,"Single","New Jersey","Basic","self-employed","Card","Reffered",1891.16
"210",2019-03-31,151445,"Female",45,"Married","Arizona","Basic","workers","Card","Reffered",1692.07
"211",2019-04-01,151446,"Male",54,"Single","West Virginia","Gold","self-employed","PayPal","Reffered",485.43
"212",2019-04-01,151447,"Female",57,"Single","Georgia","Basic","Unemployment","PayPal","Reffered",625.29
"213",2019-04-01,151448,"Male",48,"Single","Wisconsin","Basic","self-employed","PayPal","Reffered",1471.54
"214",2019-04-02,151450,"Male",27,"Single","California","Basic","Employees","PayPal","Reffered",1929.33
"215",2019-04-02,151452,"Male",57,"Married","Texas","Silver","Employees","PayPal","Reffered",2670.72
"216",2019-04-03,151454,"Male",34,"Married","Texas","Basic","self-employed","Card","Not Referred",1901.16
"217",2019-04-04,151455,"Female",48,"Married","Alaska","Gold","workers","Card","Not Referred",1728.06
"218",2019-04-04,151457,"Female",49,"Single","Hawaii","Basic","workers","PayPal","Reffered",1822.31
"219",2019-04-04,151458,"Female",77,"Single","Arizona","Basic","self-employed","Card","Not Referred",711.52
"220",2019-04-06,151461,"Female",15,"Married","Arizona","Basic","self-employed","PayPal","Reffered",198.48
"221",2019-04-06,151462,"Female",58,"Married","Mississippi","Basic","workers","PayPal","Reffered",418.28
"222",2019-04-06,151463,"Male",27,"Single","Oregon","Silver","workers","PayPal","Not Referred",913.81
"223",2019-04-07,151465,"Female",36,"Married","Texas","Platinum","Employees","Card","Not Referred",1608.01
"224",2019-04-07,151466,"Male",43,"Married","Montana","Basic","Unemployment","PayPal","Reffered",2681.13
"225",2019-04-07,151468,"Female",59,"Married","Iowa","Gold","Employees","PayPal","Not Referred",2410.23
"226",2019-04-08,151469,"Female",73,"Married","Texas","Basic","workers","PayPal","Reffered",63.2
"227",2019-04-08,151471,"Female",51,"Married","South Dakota","Silver","workers","PayPal","Reffered",2558.27
"228",2019-04-08,151472,"Female",51,"Married","Vermont","Basic","self-employed","Other","Reffered",603.47
"229",2019-04-09,151473,"Female",45,"Single","Colorado","Silver","Employees","Card","Not Referred",2790.3
"230",2019-04-10,151474,"Female",50,"Married","South Carolina","Platinum","Employees","PayPal","Reffered",801.07
"231",2019-04-10,151475,"Female",56,"Married","Wyoming","Basic","Employees","PayPal","Reffered",250.81
"232",2019-04-10,151476,"Female",74,"Married","Florida","Basic","workers","Other","Reffered",2076.39
"233",2019-04-10,151478,"Male",22,"Single","Pennsylvania","Basic","Employees","PayPal","Reffered",2928.57
"234",2019-04-11,151479,"Female",71,"Single","Vermont","Platinum","Employees","PayPal","Reffered",1707.96
"235",2019-04-11,151480,"Male",59,"Married","Mississippi","Basic","self-employed","Card","Reffered",2501.05
"236",2019-04-11,151481,"Female",46,"Married","Oklahoma","Basic","Employees","Card","Reffered",1757.27
"237",2019-04-11,151482,"Male",47,"Single","Georgia","Platinum","workers","PayPal","Reffered",1994.46
"238",2019-04-11,151484,"Male",56,"Single","Florida","Missing","workers","Other","Reffered",1600.96
"239",2019-04-12,151485,"Female",55,"Married","Arizona","Basic","self-employed","Other","Reffered",2773.68
"240",2019-04-12,151486,"Male",43,"Single","Nebraska","Silver","self-employed","PayPal","Reffered",2749.66
"241",2019-04-13,151488,"Female",37,"Single","Arizona","Silver","workers","Other","Reffered",1733.91
"242",2019-04-13,151490,"Female",73,"Married","Wisconsin","Basic","Unemployment","PayPal","Reffered",2787.95
"243",2019-04-14,151491,"Male",48,"Married","California","Platinum","workers","PayPal","Reffered",910.97
"244",2019-04-14,151492,"Female",78,"Single","Oregon","Silver","workers","PayPal","Not Referred",7.44
"245",2019-04-14,151493,"Male",53,"Single","Colorado","Basic","Employees","Card","Reffered",1342.22
"246",2019-04-15,151495,"Female",55,"Married","North Dakota","Basic","Employees","PayPal","Reffered",2084.64
"247",2019-04-16,151496,"Female",63,"Single","Hawaii","Silver","workers","PayPal","Not Referred",945.7
"248",2019-04-16,151497,"Female",15,"Single","South Dakota","Missing","Employees","PayPal","Not Referred",1380.2
"249",2019-04-17,151498,"Male",57,"Single","Kentucky","Basic","Unemployment","PayPal","Not Referred",663.43
"250",2019-04-17,151501,"Male",28,"Single","Alaska","Platinum","Employees","PayPal","Not Referred",1834.95
"251",2019-04-17,151502,"Male",18,"Married","Arizona","Basic","Unemployment","Card","Reffered",1835.84
"252",2019-04-17,151503,"Female",35,"Single","Illinois","Gold","workers","Card","Reffered",1884.42
"253",2019-04-18,151504,"Female",70,"Married","Nevada","Basic","Employees","PayPal","Reffered",1176.71
"254",2019-04-19,151505,"Female",50,"Married","Vermont","Basic","Employees","PayPal","Not Referred",53.82
"255",2019-04-19,151506,"Female",54,"Married","Maine","Platinum","workers","PayPal","Not Referred",982.39
"256",2019-04-19,151507,"Female",48,"Married","Kentucky","Basic","workers","PayPal","Reffered",1690.7
"257",2019-04-20,151509,"Female",30,"Married","Michigan","Platinum","Employees","PayPal","Reffered",2703.18
"258",2019-04-20,151510,"Female",38,"Married","Texas","Basic","Employees","PayPal","Not Referred",281.95
"259",2019-04-20,151511,"Male",32,"Married","Hawaii","Basic","self-employed","Other","Reffered",338.98
"260",2019-04-21,151512,"Male",67,"Married","Pennsylvania","Silver","workers","PayPal","Not Referred",883.97
"261",2019-04-21,151513,"Female",58,"Married","Vermont","Silver","Employees","PayPal","Reffered",2861.87
"262",2019-04-21,151514,"Male",31,"Married","Oregon","Basic","Unemployment","Other","Reffered",975.49
"263",2019-04-21,151515,"Male",42,"Single","Ohio","Basic","workers","Other","Reffered",421.83
"264",2019-04-21,151516,"Male",62,"Married","Alaska","Basic","Employees","Other","Reffered",588.88
"265",2019-04-21,151517,"Male",54,"Single","New York","Platinum","Employees","Other","Not Referred",2463.7
"266",2019-04-21,151518,"Male",66,"Single","Connecticut","Silver","workers","PayPal","Not Referred",639.44
"267",2019-04-21,151519,"Female",43,"Single","Oklahoma","Basic","workers","PayPal","Not Referred",52.2
"268",2019-04-22,151523,"Female",42,"Married","Michigan","Basic","Employees","Other","Reffered",2969.97
"269",2019-04-22,151524,"Male",70,"Married","Kansas","Basic","self-employed","PayPal","Not Referred",492.4
"270",2019-04-23,151525,"Female",42,"Married","Pennsylvania","Basic","workers","PayPal","Reffered",131.92
"271",2019-04-23,151526,"Male",22,"Married","New Hampshire","Silver","Employees","Other","Reffered",2621.53
"272",2019-04-24,151527,"Female",17,"Married","Kentucky","Basic","Employees","Card","Not Referred",2062.18
"273",2019-04-25,151529,"Male",54,"Married","Florida","Missing","Employees","Card","Reffered",877.61
"274",2019-04-25,151530,"Female",55,"Married","California","Basic","Employees","PayPal","Not Referred",2491.79
